id,范围,能力,固件状态,Web状态,目标,优先级,验收标准
transport,协议,WebHID连接,已实现,已实现,M61设备协商,P0,控件解锁前必须收到M61C配置报告
config_read,协议,读取0xF7报告,schema v4已实现并通过硬件验证,已实现,版本化M61配置,P0,硬件返回schema v4且与Web测试数据一致
config_apply,协议,应用命令0xF6/0x01,已实现并通过硬件验证,已实现,所有声明能力原子应用,P0,硬件写入后读回一致
config_save,协议,保存命令0xF6/0x02,CRC记录已实现并通过复位验证,已实现,单条CRC保护的M61记录,P0,断电重启后恢复所有声明字段
stick_deadzone,输入,左右独立径向摇杆死区,schema v3已实现,已实现,左右0–30%缩放径向修正,P1,复位后可去除中心漂移并保留方向与完整行程
usb_report_rate,输入,可选USB回报率,schema v4已实现并通过硬件验证,已实现,实时转发新蓝牙报告或固定250/500 Hz重复最近样本,P1,10秒实测250.02 Hz与500.02 Hz且描述符间隔和Flash持久化匹配所选模式
usb_reconnect,协议,USB重连命令,已实现并通过硬件验证,已验证自动恢复已授权设备,延后安全执行USB重连,P0,Web重连恢复同一已授权设备或在有限时间内报告超时
firmware_version,遥测,固件报告0xF8,已实现,已实现,语义版本修订与构建档位,P0,界面显示结构化M61构建信息
live_telemetry,遥测,遥测报告0xF9,v2已实现并通过协议验证,v2完整状态与队列显示通过硬件验证,稳定的蓝牙/USB/音频/管理/CPU快照,P1,测试数据与硬件报告一致
rssi,遥测,已连接手柄RSSI,因BR/EDR连接回归而禁用,已实现不可用状态,不干扰连接的手柄RSSI来源,P1,dBm随距离合理变化且不影响HIDP输入
health,遥测,队列与编解码健康,v2计数器已实现,显示与JSON导出已实现,紧凑有界计数器,P1,满负载告警阈值通过验证
microphone,音频,运行时麦克风开关,已实现,控件存在并受能力位限制,统一配置与持久化,P1,关闭时USB返回静音且重启后保持
speaker_gate,音频,运行时扬声器开关,已实现,已实现,关闭扬声器但不关闭触觉,P1,硬件音频与触觉测试通过
speaker_route,音频,自动/单声道/双声道路由,已实现并持久化,已实现,统一配置与持久化,P1,插孔与强制路由重启后保持
haptics_gain,音频,运行时触觉增益,已实现并持久化,已实现,饱和Q8运行时缩放,P1,1.0x至2.0x不新增音频丢包
dvfs,性能,固定与实时DVFS,已实现并通过硬件验证,已实现,统一配置持久化,P0,320/384/400 MHz及实时模式读回通过
auto_reconnect,蓝牙,重连已保存手柄,已实现并持久化,已实现,统一配置与持久化,P1,启动及链路丢失行为符合设置
idle_poweroff,电源,关闭空闲手柄,已实现并通过硬件验证,已实现,M61活动检测与0–60分钟策略,P1,60秒硬件测试发送Feature 0x08并关闭链路
controller_poweroff,电源,主动关闭手柄,已实现并通过硬件验证,已实现,受保护的异步M61命令,P1,Web操作关闭手柄且不阻塞USB回调
host_suspend_power,电源,主机挂起时关闭手柄,已实现待硬件验证,已实现,独立于空闲超时的去抖挂起策略,P2,短暂USB重枚举绝不关闭手柄
pairing,蓝牙,配对/扫描/断开/忘记,已实现且核心硬件流程通过验证,已实现,异步Web命令与状态,P1,重新配对后的绑定和地址可跨普通复位保存
status_led,硬件,M61 RGB状态灯,已实现并持久化,已实现,统一配置与持久化,P1,自动状态与禁用状态通过
diagnostics,维护,导出诊断,v2遥测已实现,JSON导出已实现,稳定的遥测JSON导出,P2,不暴露私有内存布局且浏览器下载通过
reboot_isp,维护,进入UART下载模式,热复位可到BootROM但eFuse读取不可靠,未实现,物理BOOT加RESET恢复流程,P2,BL616硬件手动进入ISP可可靠刷写
remote_wake,电源,USB远程唤醒,未验证,不显示,描述符与挂起路径实现,P3,主机睡眠/唤醒硬件测试通过
trigger_transform,输入,自适应扳机缩放,未实现,不显示,有界且可旁路的变换,P3,输出向量及手柄测试通过
